objectid,title,location,address,city,state,zip_code,subject,datebuilt_architect,latitude,longitude,architect,filename,rights,format,date_all,date
iaahs001,Bensalem A.M.E. Church / Little Jerusalem A.M.E. Church,Bucks County,1200 Bridgewater Rd.,Bensalem,PA,19020,church,"ca. 1832; alterations, 1860, 1896",40.0007282,-75.1705032,,https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/BensalemPA_JerusalemAMEChurch.jpg/1920px-BensalemPA_JerusalemAMEChurch.jpg,"By User:Magicpiano - Own work, CC BY-SA 4.0, https://commons.wikimedia.org/w/index.php?curid=19246380",image/jpeg,1832;1860;1896,1832
iaahs002,London Coffee House,Center City,Front and Market Sts.,Philadelphia,PA,19106,,"1702, Charles Reed",39.949809,-75.14413,Charles Reed,https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/The_London_coffee_house_-_THM._LCCN92520160.jpg/1505px-The_London_coffee_house_-_THM._LCCN92520160.jpg,"By Mumford, Thomas Howland, 1816-, engraver - Library of CongressCatalog: https://lccn.loc.gov/92520160Image download: https://cdn.loc.gov/service/pnp/cph/3c00000/3c06000/3c06800/3c06832v.jpgOriginal url: https://www.loc.gov/pictures/item/92520160/, Public Domain, https://commons.wikimedia.org/w/index.php?curid=68136125",image/jpeg,1702,1702
iaahs003,Royal Theater,Center City,1524-1534 South St.,Philadelphia,PA,19146,theater,"1919, Frank E. Hahn",39.943754,-75.166382,Frank E. Hahn,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/RoyalTheaterPhilly.JPG/1600px-RoyalTheaterPhilly.JPG,"By Smallbones - Own work, Public Domain, https://commons.wikimedia.org/w/index.php?curid=9488951",image/jpeg,1919,1919
iaahs004,Pennsylvania Academy of Fine Arts,Center City,118-26 N. Broad St.,Philadelphia,PA,19102,museum; school,"1872, 1876; Frank Furness",39.955217,-75.163669,Frank Furness,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Pennsylvania_Academy_of_the_Fine_Arts_building.jpg/1920px-Pennsylvania_Academy_of_the_Fine_Arts_building.jpg,"By Difference engine - Own work, CC BY-SA 4.0, https://commons.wikimedia.org/w/index.php?curid=59390739",image/jpeg,1872;1876;,1872
iaahs005,African Episcopal Church of St. Thomas Site #2,Center City,203-209 S. 12th St.,Philadelphia,PA,19107,church,"1889-1890, Frank Miller",39.9484753,-75.1603797,Frank Miller,https://upload.wikimedia.org/wikipedia/commons/3/30/African_Episcopal_Church_of_St._Thomas.jpg,"By unknown but June 1829 - http://archive.episcopalchurch.org/images/AAM_parchment_photo1829.jpg, Public Domain, https://commons.wikimedia.org/w/index.php?curid=32494834",image/jpeg,1889;1890,1889
iaahs006,Washington Square,Center City,6th and Walnut St.,Philadelphia,PA,19106,park; cemetery,"1683, 1911; G. Bridgeport, JohnHaviland",39.990821,-75.168428,"G. Bridgeport, John Haviland",https://upload.wikimedia.org/wikipedia/commons/3/37/Washington_Square_2018.jpg,"By Ii2nmd at English Wikipedia, CC BY-SA 4.0, https://commons.wikimedia.org/w/index.php?curid=75085115",image/jpeg,1683;1911;,1683
iaahs007,Mother Bethel A.M.E. Church,Center City,419 S. 6th St.,Philadelphia,PA,19147,church; museum,"1794; 1889, Hazlehurst & Huckel",39.943333,-75.151737,Hazlehurst & Huckel,https://upload.wikimedia.org/wikipedia/commons/thumb/3/39/Mother_Bethel_Philly_a.JPG/1920px-Mother_Bethel_Philly_a.JPG,"By Smallbones - Own work, CC0, https://commons.wikimedia.org/w/index.php?curid=31144257",image/jpeg,1794; 1889,1794
iaahs008,Durham Public School / Independent Charter School,Center City,1600 Lombard St.,Philadelphia,PA,19146,school,"1909-1910, Henry deCourcy Richards",39.972633,-75.155743,Henry deCourcy Richards,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Durham_School_in_Philly.JPG/1920px-Durham_School_in_Philly.JPG,"By Smallbones - Own work, Public Domain, https://commons.wikimedia.org/w/index.php?curid=9550522",image/jpeg,1909;1910,1909
iaahs009,Earle Theater,Center City,11th and Market Sts.,Philadelphia,PA,19107,theater,"1921-1924, Hoffman-Henon Co.; alterations, 1925, 1928, Hoffman-Henon Co.; demolished 1953",39.919528,-75.276247,Hoffman-Henon Co.;Hoffman-Henon Co.,https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/Earle_theater_Philadelphia_1928.jpg/440px-Earle_theater_Philadelphia_1928.jpg,"By York Ice Machinery - Motion Picture News, Public Domain, https://commons.wikimedia.org/w/index.php?curid=95627005",image/jpeg,1921;1924;1925;1928;1953,1921
iaahs010,Chateau Crillon Apartment Building,Center City,222 S. 19th St.,Philadelphia,PA,19103,apartment house,"1928, Horace Trumbauer (Julian Abele)",39.9418565,-75.165939,Horace Trumbauer (Julian Abele),https://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/Chateau_Crillon_2.JPG/800px-Chateau_Crillon_2.JPG,"By Smallbones - Own work, Public Domain, https://commons.wikimedia.org/w/index.php?curid=9585798",image/jpeg,1928,1928
iaahs011,"Free Library of Philadelphia, Central Branch",Center City,1901 Vine St.,Philadelphia,PA,19103,library,"ca. 1927, Horace Trumbauer (Julian Abele)",39.95993,-75.170948,Horace Trumbauer (Julian Abele),https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/The_Free_Library_of_Philadelphia.jpg/1920px-The_Free_Library_of_Philadelphia.jpg,"By Nanoman657 - Own work, CC BY-SA 3.0, https://commons.wikimedia.org/w/index.php?curid=15303888",image/jpeg,1927,1927
iaahs012,Hahnemann Medical College Out-patient's Building,Center City,15th St. above Race St.,Philadelphia,PA,19102,,"ca. 1947, Horace Trumbauer (Julian Abele)",39.990821,-75.168428,Horace Trumbauer (Julian Abele),https://upload.wikimedia.org/wikipedia/commons/thumb/b/b5/History_of_the_Homoeopathic_Medical_College_of_Pennsylvania_-_the_Hahnemann_Medical_College_and_Hospital_of_Philadelphia_%281898%29_%2814577881388%29.jpg/1280px-History_of_the_Homoeopathic_Medical_College_of_Pennsylvania_-_the_Hahnemann_Medical_College_and_Hospital_of_Philadelphia_%281898%29_%2814577881388%29.jpg,"By Internet Archive Book Images - https://www.flickr.com/photos/internetarchivebookimages/14577881388/Source book page: https://archive.org/stream/historyofhomoeop00brad/historyofhomoeop00brad#page/n254/mode/1up, No restrictions, https://commons.wikimedia.org/w/index.php?curid=43675478",image/jpeg,1947,1947
iaahs013,Jefferson Medical College Curtis Building,Center City,1015 Walnut St.,Philadelphia,PA,19107,,"ca. 1929, Horace Trumbauer (Julian Abele)",39.948773,-75.157591,Horace Trumbauer (Julian Abele),https://upload.wikimedia.org/wikipedia/commons/thumb/0/04/Jefferson_University_College_and_Curtis_Buildings_1025_Walnut_Street.jpg/1024px-Jefferson_University_College_and_Curtis_Buildings_1025_Walnut_Street.jpg?20130530194111,"By Beyond My Ken - Own work, CC BY-SA 4.0, https://commons.wikimedia.org/w/index.php?curid=26408466",image/jpeg,1929,1929
iaahs014,All-Wars Memorial to Black Soldiers,Center City,19th and the Parkway,Philadelphia,PA,19103,monument,"1934, J. Otto Schweizer",39.9739597,-75.1631341,J. Otto Schweizer,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/All_Wars_Memorial_to_Colored_Soldiers_and_Sailors_-_Philadelphia%2C_PA_-_DSC06524.JPG/1024px-All_Wars_Memorial_to_Colored_Soldiers_and_Sailors_-_Philadelphia%2C_PA_-_DSC06524.JPG,"By Daderot - Self-photographed, Public Domain, https://commons.wikimedia.org/w/index.php?curid=17110692",image/jpeg,1934,1934
